"device_id","device_name","device_type"
"46","Garage Motion Sensor","MotionSensor"
"47","Garage Temperature Sensor","TemperatureSensor"
"48","Garage Light Sensor","LightSensor"
"49","Garage Humidity Sensor","HumiditySensor"
"32","Garage Door Sensor","DoorSensor"
"21","Garage Light","HueLight"
"59","Front Outdoor Lights","FibaroDimmer"
"13","Kitchen Motion Sensor","MotionSensor"
"14","Kitchen Temperature Sensor","TemperatureSensor"
"15","Kitchen Light Sensor","LightSensor"
"16","Kitchen Humidity Sensor","HumiditySensor"
"102","Kitchen Light Strip","FibaroDimmer"
"108","Office Smart Switch","SmartSwitch"
"109","Office Room Motion Sensor","MotionSensor"
"110","Office Room Temperature Sensor","TemperatureSensor"
"111","Office Room Light Sensor","LightSensor"
"112","Office Room Humidity Sensor","HumiditySensor"